identifier,filename,title,format,description,contributor,coverage,creator,date,latitude,longitude,year,publisher,rights,subject
PC004697,https://archive.org/details/PC004697,"Public school, Red Deer, Alta.",image/jpeg,A posed photograph of what appear to be students and their teacher standing in front of the school building.,,Canada; Alberta; Red Deer,,1908,,,1908,,Public Domain,Group portraits; Public schools; School children
PC004747,https://archive.org/details/PC004747,"Oats grown near Red Deer, Alta.",image/jpeg,Men standing in a field of oat.,,Canada; Alberta; Red Deer,Novelty Manufacturing & Art Printing Co.: Publisher,1910,,,1910,"Novelty Manufacturing & Art Printing Co., Montreal",Public Domain,Oats; Farms; Men
PC004706,https://archive.org/details/PC004706,"Fourth St., north, Red Deer, Alta.",image/jpeg,"Hand tinted postcard view residential street and sidewalks in Red Deer, Alberta.",,Canada; Alberta; Red Deer,,1915-06-18,,,1915,,Public Domain,Residential streets
PC004762,https://archive.org/details/PC004762,"Part of residential section, Redcliff, Alta.",image/jpeg,"View of residential district, Redcliff, Alberta.",,Canada; Alberta; Redcliff,"Taylor, J.H.: Photographer",1915-06-18,,,1915,"J. H. Taylor, Redcliff",Public Domain,Residential streets; Houses
PC012430,https://archive.org/details/PC012430,"Main Street Stettler, Alta",image/jpeg,"Main street, Stettler, Alberta. Merchants Bank of Canada is visible on the left side.",,Canada; Alberta; Stettler,,1910-06-20,,,1910,,Public Domain,Commercial streets; Buildings; Banks; Merchants' Bank of Canada (Stettler;  Alta.)
PC024361,https://archive.org/details/PC024361,"Stettler School, Stettler, Alta.",image/jpeg,,,Canada; Alberta; Stettler,,1911,,,1911,,Public Domain,
PC012439,https://archive.org/details/PC012439,"Stettler, Alberta.",image/jpeg,Real photo view of a downtown street.,,Canada; Alberta; Stettler,,2024-01-12T19:58:45Z,,,2024,,For more information visit the University of Alberta Library digital collections rights page,Commercial streets; Stores & shops
PC004828,https://archive.org/details/PC004828,"Strome, Alta",image/jpeg,"View of a church in Strome, Alberta.",,Canada; Alberta; Strome,,1920,,,1920,,Public Domain,Churches
PC023299,https://archive.org/details/PC023299,"C.P.R. Banff Springs Hotel and Sulphur Mountain, Banff, Canadian Rockies",image/jpeg,,,Canada; Alberta; Sulphur Mountain Banff,,1934,,,1934,,Public Domain,
PC010896,https://archive.org/details/PC010896,"Anglican Church, Tofield, Alta.",image/jpeg,"A small, modest, wood-framed Anglican church in Tofield, Alberta. The fenced back and side yards, landscaped with a tree and bushes, fill the foreground.",,Canada; Alberta; Tofield,,,,,,,For more information visit the University of Alberta Library digital collections rights page,Anglican churches; Holy Trinity Anglican Church (Tofield;  Alta.)
PC021409,https://archive.org/details/PC021409,"Vermilion Agricultural & Vocational College, Vermilion, Alta.",image/jpeg,,,Canada; Alberta; Vermillion,,,,,,,For more information visit the University of Alberta Library digital collections rights page,
PC004936,https://archive.org/details/PC004936,[Field of grains],image/jpeg,A field of stooks.,,Canada; Alberta; Vulcan,"Morton, W.J.: Photographer",1910,,,1910,"W.J. Morton, Vulcan, Alta.",For more information visit the University of Alberta Library digital collections rights page,Wheat; Harvesting
PC004984,https://archive.org/details/PC004984,"Wainwright, Alberta",image/jpeg,"View of a commercial street in Wainwright, Alberta with stores and shops on the either side. The street is unpaved, and people can be seen on the horses, in the street and on the sidewalks in front of the stores. There is a sign for ""Welgh Bros.""",,Canada; Alberta; Wainwright,"Bawsher, C.: Photographer",1910,,,1910,Photo C. Bawsher,Public Domain,Commercial streets; Stores & shops
PC005094,https://archive.org/details/PC005094,"[Domestic buffalo and calves, Wainwright National Park, Alberta.]",image/jpeg,"Domestic buffalo and calves, Wainwright National Park, Alberta.",,Canada; Alberta; Wainwright,,1910,,,1910,,Public Domain,Buffaloes; Buffalo National Park (Wainwright;  Alta.)
PC005133,https://archive.org/details/PC005133,"Canadian National Park - Wainwright, Alta. -",image/jpeg,The image of a CNR locomotive is superimposed upon the front hooves of a large male buffalo.,,Canada; Alberta; Wainwright,,,,,,,For more information visit the University of Alberta Library digital collections rights page,Buffaloes; Railroad locomotives; Buffalo National Park (Wainwright;  Alta.)
PC011000,https://archive.org/details/PC011000,"""Heaven's Peak"" from the Logan Pass Road Connecting Glacier Nat'l Park, Montana, U.S.A. with Waterton Lakes Park, Alberta Canada",image/jpeg,"An old-fashioned touring bus filled with passengers drives past three people at a rest stop by the side of the road. Trees and the mountain known as ""Heaven's Peak"" fill the background.",,Canada; Alberta; Waterton,The Camera Products Co.: Publisher,1930-06-20,,,1930,"Published by The Camera Products Co., 1731, Dunbar Street, Vancouver, B.C.",Public Domain,Sightseers; Tourists; Buses; Mountains; Waterton Lakes National Park (Alta.); Glacier National Park (Mont.); Logan Pass (Mont.)
PC023949,https://archive.org/details/PC023949,Prince of Wales Hotel,image/jpeg,,,Canada; Alberta; Waterton Lakes National Park,,1963,,,1963,,For more information visit the University of Alberta Library digital collections rights page,
PC004955,https://archive.org/details/PC004955,"""Memorial"" Wetaskiwin Park",image/jpeg,"View of a memorial monument at Wetaskiwin Park in Wetaskiwin, Alberta.",,Canada; Alberta; Wetaskiwin,,1920-06-18,,,1920,,Public Domain,Monuments & memorials; Historic parks
PC005222,https://archive.org/details/PC005222,"Main St., looking North, Youngstown, Alta.",image/jpeg,"View of Main Street in Youngstown, Alberta with stores and shops on the either side. There is a sign for ""Arlington House"".",,Canada; Alberta; Youngstown,Gas City Photo Co.: Publisher,1910,,,1910,"The Gas City Photo Co., Medicine Hat, Alta.",Public Domain,Commercial streets; Stores & shops; Hotels
PC005221,https://archive.org/details/PC005221,"Youngstown, Alta",image/jpeg,Sepia photograph of a street in Youngstown. Main road is muddy and there is a blacksmith shop on the right hand side showing a wagon outside.,,Canada; Alberta; Youngstown,Rumsey & Co.: Publisher,1920-12-15,,,1920,"Real Photo Published by Rumsey & Co., Toronto, Can.",Public Domain,Commercial streets; Buildings; Carts & wagons
PC000016,https://archive.org/details/PC000016,"Bagot, Man.",image/jpeg,Houses in Bagot.,,Canada; Manitoba; Bagot,Bates: Photographer,1912,,,1912,,Public Domain,Houses; Cityscapes
PC011367,https://archive.org/details/PC011367,"Birtle, Man.",image/jpeg,Street scene with store fronts along the right side.,,Canada; Manitoba; Birtle,The Lawrence Studio: Photographer,2024-06-20T13:57:06Z,,,2024,"The Lawrence Studio, Birtle, Man.",Public Domain,Commercial streets; Storefronts
PC027657,https://archive.org/details/PC027657,"Park School, Brandon, Man.",image/jpeg,,,Canada; Manitoba; Brandon,,1907,,,1907,,Public Domain,
PC000109,https://archive.org/details/PC000109,"C.P.R. Station, Brandon, Man.",image/jpeg,View of a railroad station and railroad tracks. There are a few people standing on the platform.,,Canada; Manitoba; Brandon,,1909,,,1909,,Public Domain,Railroad stations; Railroad locomotives
PC000187,https://archive.org/details/PC000187,"Y.M.C.A., Methodist church, and Presbyterian church, Brandon, Man.",image/jpeg,"Exterior view of the Brandon, Manitoba, Y.M.C.A. and adjacent Methodist and Presbyterian churches.",,Canada; Manitoba; Brandon,"Valentine & Son's publishing co., Ltd.: Publisher",1911,,,1911,"Valentine & Son's publishing co., Ltd. Montreal and Toronto",Public Domain,Methodist churches; Presbyterian churches; Young Men's Christian associations; Organizations' facilities; First Methodist Church (Brandon;  Man.); St. Stephen's Presbyterian Church (Brandon;  Man.); Young Men's Christian Association (Brandon;  Man.)
PC000151,https://archive.org/details/PC000151,"W. H. Mallett, Watchmaker, Jeweler & Optician, Marriage licenses issued, Brandon, Man.",image/jpeg,Interior view of W. H. Mallett Jewelry store.,,Canada; Manitoba; Brandon,,1920,,,1920,,Public Domain,Jewelry stores; Clocks & watches; Opticians' shops; W.H. Mallett (Brandon;  Man.)
PC000101,https://archive.org/details/PC000101,"Tenth Street, Brandon, Manitoba.",image/jpeg,"A view of Tenth Street, cars parked along the street, there are shops on each side of the street, ""McKenzie Seeds"" is on the left side.",,Canada; Manitoba; Brandon,,1940,,,1940,"Photogelatine Engraving Co. Limited, Ottawa",Public Domain,Stores & shops; Commercial streets
PC000113,https://archive.org/details/PC000113,"C. N. R. Depot and Prince Edward Hotel, Brandon, Manitoba.",image/jpeg,View of a the Prince Edward Hotel on the corner and the C.N.R. Train Station on the left side.,,Canada; Manitoba; Brandon,Photogelatine Engraving Co.: Publisher,1940,,,1940,The Photogelatine Engraving Co. Ltd. Toronto.,Public Domain,Hotels; Railroad stations; Prince Edward Hotel (Brandon;  Man.)
PC000205,https://archive.org/details/PC000205,[Train accident],image/jpeg,View of a train derailment. Several men are posing in front of the wreckage.,,Canada; Manitoba; Carberry,,,,,,,For more information visit the University of Alberta Library digital collections rights page,Railroad accidents
PC013390,https://archive.org/details/PC013390,Churchill,image/jpeg,Ships in the Churchill harbour of Hudson's Bay.,,Canada; Manitoba; Churchill,,1935,,,1935,,For more information visit the University of Alberta Library digital collections rights page,Ships; Harbors; Bays (Bodies of water); Churchill (Man.); Hudson's Bay (Man.)
PC000241,https://archive.org/details/PC000241,"Government Dock, Cranberry Portage, Man.",image/jpeg,"Image of two people standing at the end of a pier. In the foreground, a canoe is tied to the dock.",,Canada; Manitoba; Clearwater,,1930,,,1930,,Public Domain,Piers & wharves; Boats; Lakes & ponds
PC018951,https://archive.org/details/PC018951,"Public School, Cypress River",image/jpeg,,,Canada; Manitoba; Cypress River,,,,,,,For more information visit the University of Alberta Library digital collections rights page,
PC000318,https://archive.org/details/PC000318,Messrs. Callan & Armstrong's Threshing Outfit. Ewart.,image/jpeg,A threshing outfit hard at work on the prairies.,,Canada; Manitoba; Ewart,,1900,,,1900,,Public Domain,Threshing machines; Hay; Agricultural laborers; Agricultural machinery & implements
PC000363,https://archive.org/details/PC000363,[Parade],image/jpeg,Image of several people posing on and around a parade float. The float may have been designed as a tribute to Holland as a windmill is featured. Numerous spectators are also visible in the background.,,Canada; Manitoba; Flin Flon,,1920,,,1920,,Public Domain,Festivals; Parades & processions
PC000339,https://archive.org/details/PC000339,"St James' Church, Flin Flon.",image/jpeg,Interior view of an Anglican church with a cleric standing by the altar.,,Canada; Manitoba; Flin Flon,,1930,,,1930,,Public Domain,Anglican churches; Priests
PC000385,https://archive.org/details/PC000385,Along Flin-Flon railway,image/jpeg,View of a stretch of railway track in winter. Snowbanks are visible and the lake adjacent to the tracks appears to be frozen over.,,Canada; Manitoba; Flin Flon,,1930,,,1930,,Public Domain,Railroad tracks
PC011453,https://archive.org/details/PC011453,"The Winner Beaver Contest, August 5th 46",image/jpeg,An unidentified man poses for an informal bust portrait.,,Canada; Manitoba; Flin Flon,,1946,,,1946,,Public Domain,Men; Boys
PC011424,https://archive.org/details/PC011424,"[Main St., Flin Flon. Man.]",image/jpeg,"View of a commercial street in town with stores and shops on the either side, or pedestrians on the sidewalk and cars are parked on either side.",,Canada; Manitoba; Flin Flon,,2024-01-12T19:50:13Z,,,2024,"Novelty Manufacturing & Art Printing Co., Montreal",For more information visit the University of Alberta Library digital collections rights page,Commercial streets; Stores & shops; Utility poles
PC012621,https://archive.org/details/PC012621,"Fort Qu'Appelle, Sask., From the north",image/jpeg,"Distant view of portion of town showing houses, and businesses.",,Canada; Manitoba; Fort Qu'appelle,,1907,,,1907,,Public Domain,Cityscapes
PC011410,https://archive.org/details/PC011410,"Foxwarren, Man.",image/jpeg,"Photo depicts a street in Foxwarren, Manitoba.",,Canada; Manitoba; Foxwarren,,,,,,,For more information visit the University of Alberta Library digital collections rights page,Commercial streets; Stores & shops
PC000459,https://archive.org/details/PC000459,"Roland Avenue, Grand View, Man.",image/jpeg,"View looking down a residential avenue in town, includes a church on left side.",,Canada; Manitoba; Grand View,,,,,,,Public Domain,Residential streets; Dwellings
PC000477,https://archive.org/details/PC000477,"Entrance to the school, Hamiota, Man., Aug. 28th., 1920",image/jpeg,View of town's school from the end of the entrance path.,,Canada; Manitoba; Hamiota,,1920,,,1920,,Public Domain,Schools
PC011403,https://archive.org/details/PC011403,"Killarney, Man.",image/jpeg,"Photo depicts a street in Killarney, Manitoba.",,Canada; Manitoba; Killarney,,1928,,,1928,,Public Domain,Commercial streets; Stores & shops; Automobiles
PC026479,https://archive.org/details/PC026479,"School, La Riviere, Man.",image/jpeg,,,Canada; Manitoba; La Riviere,,,,,,,For more information visit the University of Alberta Library digital collections rights page,
PC000558,https://archive.org/details/PC000558,"Railway Ave., Lauder (Manitoba)",image/jpeg,"Street in town displaying ""Lauder Hotel"" and ""Massey-Har[r]is Farm Implements,"" with small group of people gathered in doorway of a home.",,Canada; Manitoba; Lauder,Winnipeg Photo Co.: Publisher,,,,,"Winnipeg Photo Co. [Napinka, Man.]",Public Domain,Cityscapes; Streets
PC002399,https://archive.org/details/PC002399,[York Boat],image/jpeg,Reproduction of a sketch of a york boat in the water with several men rowing.,,Canada; Manitoba; Manitoba,"Merrill, A.J.: Publlisher",1900,,,1900,"Photogelatine Engraving Co. United, Toronto",Public Domain,Boats
PC000666,https://archive.org/details/PC000666,"Hotel Manitoba - Morden, Manitoba",image/jpeg,Exterior of hotel with guests on the porch and horse and carriage parked in front.,,Canada; Manitoba; Morden,"Copp, Clark Co.: Publisher",1920,,,1920,"Published by the Copp, Clark Co. Limited - Toronto",Public Domain,Hotels; City & town life
PC000684,https://archive.org/details/PC000684,"St. George's church, Napinka (Manitoba)",image/jpeg,Exterior of church in town.,,Canada; Manitoba; Napinka,Winnipeg Photo Co.: Publisher,1910-06-18,,,1910,,Public Domain,Churches
PC000703,https://archive.org/details/PC000703,"Neepawa, Man.",image/jpeg,Waterfront road outside of town with people and horse-drawn carriages traveling.,,Canada; Manitoba; Neepawa,Paton & Saunders: Publisher,1910-06-18,,,1910,Paton & Saunders,Public Domain,Roads; Lakes & ponds; People
PC000702,https://archive.org/details/PC000702,"Mountain Avenue, Neepawa, Man.",image/jpeg,Cityscape view of commercial street in town with automobiles driving.,,Canada; Manitoba; Neepawa,The Heliotype Co. Ltd.: Publisher,1944,,,1944,"Printed by the Heliotype Co. Ltd., Ottawa",Public Domain,City & town life; Storefronts; Commercial streets
PC000729,https://archive.org/details/PC000729,"Federal building, Neepawa",image/jpeg,Exterior of post office on commercial street.,,Canada; Manitoba; Neepawa,,1945,,,1945,,For more information visit the University of Alberta Library digital collections rights page,Post offices; Government facilities; Commercial streets
PC000751,https://archive.org/details/PC000751,"Marion St. Norwood, Man.",image/jpeg,"View of commercial street in town with approaching streetcar. Buildings include ""W.Glung Meat Market"" and hardware company.",,Canada; Manitoba; Norwood,Meyers Winnipeg: Publisher,1917,,,1917,Meyers Winnipeg,Public Domain,Commercial streets; Street railroads; City & town life; Storefronts
PC031839,https://archive.org/details/PC031839,"C.P.R. Royal Alexandra Hotel and C.P.R. Station, Winnipeg, Canada",image/jpeg,,,Canada; Manitoba; Roblin,,,,,,,For more information visit the University of Alberta Library digital collections rights page,
PC031984,https://archive.org/details/PC031984,"Rotunda, Royal Alexandra, Winnipeg",image/jpeg,,,Canada; Manitoba; Roblin,,,,,,,For more information visit the University of Alberta Library digital collections rights page,
PC026455,https://archive.org/details/PC026455,"Schepper's College, Swan Lake, Man.: Children's feast, May 25th",image/jpeg,,,Canada; Manitoba; Scheppers College Swan Lake,,,,,,,For more information visit the University of Alberta Library digital collections rights page,
PC001464,https://archive.org/details/PC001464,"[Fire, Shoal Lake, Man.]",image/jpeg,"Ruins of structures and debris in street, 1914 fire.",,Canada; Manitoba; Shoal Lake,,1914,,,1914,,Public Domain,Fires; Streets
PC022276,https://archive.org/details/PC022276,"St. Boniface College, Man.",image/jpeg,,,Canada; Manitoba; St. Boniface,,,,,,,For more information visit the University of Alberta Library digital collections rights page,
PC020561,https://archive.org/details/PC020561,Card PC020561,image/jpeg,,,Canada; Manitoba; St. Boniface Winnipeg,,1923,,,1923,,Public Domain,
PC001571,https://archive.org/details/PC001571,"Swan River, Man.",image/jpeg,"View of Main Street in Swan Lake, Manitoba.",,Canada; Manitoba; Swan River,,1910-06-18,,,1910,,Public Domain,Stores & shops; Commercial streets
PC001569,https://archive.org/details/PC001569,"Fifth Ave, Swan River, Man.",image/jpeg,"Street scene with store fronts along the left side. There is a sign for ""Drug Store, Book Store"".",,Canada; Manitoba; Swan River,,1924,,,1924,,Public Domain,Commercial streets; Storefronts
PC001583,https://archive.org/details/PC001583,"Indian Chiefs and Returned soldiers. The Pas Dog Derby, March 17 th., 1919, The Pas, Man",image/jpeg,Street scene soldiers and Indian Chiefs walking down the street and people line the unpaved street in front of the stores.,,Canada; Manitoba; The Pas,,1919,,,1919,,Public Domain,Winter carnivals; Festivals; Crowds; Soldiers; Indigenous peoples; Parades & processions
PC001596,https://archive.org/details/PC001596,"July, 28,1920 The Pas, Man.",image/jpeg,Image shows the back sides of several buildings. A smokestack can also be seen in the image.,,Canada; Manitoba; The Pas,,1920,,,1920,,Public Domain,Commercial facilities; Buildings; Factories; Smokestacks
PC001600,https://archive.org/details/PC001600,Fischer Ave The Pas. Man,image/jpeg,"Fischer Avenue featuring Pool Barbers, Royal Cafe, Pas Herald, Buntings.",,Canada; Manitoba; The Pas,,1920,,,1920,,For more information visit the University of Alberta Library digital collections rights page,Commercial streets; Stores & shops
PC001653,https://archive.org/details/PC001653,"Virden, Man.",image/jpeg,"Birds eye view of Virden, Manitoba.",,Canada; Manitoba; Virden,"C. S. Co. Ltd.: Publisher,Higginbotham & Son: Publisher",1910,,,1910,C. S. Co. Ltd. Winnipeg,Public Domain,Cityscapes; Buildings
PC001706,https://archive.org/details/PC001706,Lake shore drive Wasagaming. Man.,image/jpeg,View of Clear Lake in Riding Mountain National Park.,,Canada; Manitoba; Wasagaming,Jerrett Photo: Photographer,1947,,,1947,Jerrett Photo,Public Domain,Lakes & ponds; Roads; Clear Lake (Man.); Riding Mountain National Park (Man.)
PC001935,https://archive.org/details/PC001935,Winnipeg,image/jpeg,Images of two churches with captions: Grace (Methodist) Church and Wesley College underneath.,,Canada; Manitoba; Winnipeg,,1903,,,1903,,Public Domain,Methodist churches; Universities & colleges; Montages; Grace Church (Winnipeg;  Man.); Wesley College (Winnipeg;  Man.)
PC011564,https://archive.org/details/PC011564,"Winnipeg, Man.",image/jpeg,Early view of downtown Winnipeg business district.,,Canada; Manitoba; Winnipeg,,1903,,,1903,,Public Domain,Business districts; Commercial streets; Stores & shops; Winter; Cityscapes
PC011563,https://archive.org/details/PC011563,"[Winnipeg, Man.]",image/jpeg,Early view of the downtown business district.,,Canada; Manitoba; Winnipeg,Barrowclough: Publisher,1904,,,1904,,Public Domain,Commercial streets; Storefronts; Monuments & memorials; Business districts
PC002170,https://archive.org/details/PC002170,Storm of July 15th Winnipeg,image/jpeg,"View of the ruins of a house after the snow storm of 1905 in Winnipeg, Manitoba.",,Canada; Manitoba; Winnipeg,Barrowclough Photo Card: Photographer,1905,,,1905,Barrowclough Photo Cards,Public Domain,Storms; Ruins; Houses
PC001918,https://archive.org/details/PC001918,Winnipeg Man.,image/jpeg,"A view of a commercial streets with stores and shops on the either side, or pedestrians on the sidewalk and carriages are driving and parked on either side.",,Canada; Manitoba; Winnipeg,,1905,,,1905,,Public Domain,Commercial streets; Stores & shops; Business districts; City & town life
PC017301,https://archive.org/details/PC017301,"Drawing Room, Royal Alexandra's, Winnipeg",image/jpeg,,,Canada; Manitoba; Winnipeg,,1907,,,1907,,Public Domain,
PC021705,https://archive.org/details/PC021705,Card PC021705,image/jpeg,,,Canada; Manitoba; Winnipeg,,1908,,,1908,,Public Domain,
PC021707,https://archive.org/details/PC021707,Card PC021707,image/jpeg,,,Canada; Manitoba; Winnipeg,,1909,,,1909,,Public Domain,
PC002165,https://archive.org/details/PC002165,"Riel Rebellion Memorial, Winnipeg, Man.",image/jpeg,Postcard of monument to the North West Field Force casualties during the Northwest Resistance.,,Canada; Manitoba; Winnipeg,"Warwick Bro's & Rutter: Publisher,Novulty Souvenir Co.: Publisher",1910,,,1910,"Warwick Bro's & Rutter, Limited, Publishers, Toronto; Novelty Souvenir Co., 614-616 Main St., Winnipeg",Public Domain,Monuments & memorials; Cemeteries; Northwest Resistance;  Canada;  1885; St. John Cemetery (Winnipeg;  Man.)
PC000967,https://archive.org/details/PC000967,"Y, W, C, A. Winnipeg Man.",image/jpeg,Exterior view of the Winnipeg Y.W.C.A.,,Canada; Manitoba; Winnipeg,J. W. Willson Co.: Photographer,1910,,,1910,"Photo by J. W. Wilson Co., 143, Queen Street W., Toronto.",Public Domain,Young Women's Christian associations; Organizations' facilities; Young Women's Christian Association (Winnipeg;  Man.)
PC000996,https://archive.org/details/PC000996,"[Sutton House, Winnipeg]",image/jpeg,"A commercial street featuring Sutton House and storefronts, including Rheims second hand misfit clothing, and Sunnyside coffee house.",,Canada; Manitoba; Winnipeg,,1910,,,1910,,Public Domain,Commercial streets; Storefronts
PC002351,https://archive.org/details/PC002351,"Typewriting class, Collège de St. Boniface, Classe de clavigraphie. St. Boniface, Man.",image/jpeg,Framed view of a typewriting classroom with several desks holding a typewriter on them.,,Canada; Manitoba; Winnipeg,Novelty Manufacturing & Art Printing Co.: Publisher,1910,,,1910,"Novelty Manufacturing & Art Printing Co., Montreal.",For more information visit the University of Alberta Library digital collections rights page,Typewriters; Classrooms; St. Boniface Collège (Winnipeg;  Man.)
PC001383,https://archive.org/details/PC001383,"Main St, Winnipeg",image/jpeg,"View of Main Street in Winnipeg, lined with shops, the streetcar can be seen down the middle of the street. Cars and people are also visible in the street.",,Canada; Manitoba; Winnipeg,,1910,,,1910,,Public Domain,Cityscapes; City & town life; Commercial streets
PC000948,https://archive.org/details/PC000948,[Winnipeg] Free Press Souvenir Postcard,image/jpeg,"On this side of the postcard is a view of the office building that housed the newspaper, The Winnipeg Free Press. Numerous automobiles are parked in front of the building.",,Canada; Manitoba; Winnipeg,,1910,,,1910,,Public Domain,Newspaper industry; Automobiles; Winnipeg Free Press
PC002043,https://archive.org/details/PC002043,"Portage Avenue, Winnipeg",image/jpeg,View of a downtown Winnipeg street depicting brick buildings and storefronts.,,Canada; Manitoba; Winnipeg,,1910,,,1910,,Public Domain,Commercial streets; Cityscapes; Stores & shops; City & town life; Commercial facilities; Business districts
PC002166,https://archive.org/details/PC002166,"Riel Rebellion Memorial, Winnipeg, Man.",image/jpeg,Postcard of monument to the North West Field Force casualties during the Northwest Resistance.,,Canada; Manitoba; Winnipeg,Novelty Souvenir Co: Publisher,1910,,,1910,"Novelty Souvenir Co., 614-616 Main St., Winnipeg",Public Domain,Monuments & memorials; Northwest Resistance;  Canada;  1885; St. John Cemetery (Winnipeg;  Man.)
PC027818,https://archive.org/details/PC027818,Card PC027818,image/jpeg,,,Canada; Manitoba; Winnipeg,,1911,,,1911,,Public Domain,
PC011536,https://archive.org/details/PC011536,"Radford-Wright fire, Winnipeg",image/jpeg,Radford Wright Co. Ltd. 776 Main St after fire March 9,,Canada; Manitoba; Winnipeg,,1912,,,1912,,Public Domain,Fires; Disasters; Buildings
PC002207,https://archive.org/details/PC002207,"Cow girls & boys Stampede, Winnipeg.",image/jpeg,View of participants (cowboys and cowgirls on horseback) in the Winnipeg Stampede Parade.,,Canada; Manitoba; Winnipeg,,1913,,,1913,,Public Domain,Cowboys; Horses; Cowgirls
PC001375,https://archive.org/details/PC001375,"Part of Main Street, looking north from Merchants Bank, Winnipeg, Manitoba",image/jpeg,Elevated view of business district in Winnipeg. The streetcar line can be seen down the middle of the street. Numerous figures are shown crossing the road and standing and walking on the sidewalks.,,Canada; Manitoba; Winnipeg,,1914,,,1914,,For more information visit the University of Alberta Library digital collections rights page,Cityscapes; City & town life; Commercial streets; Street railroads; Stores & shops
PC011548,https://archive.org/details/PC011548,"View of South Winnipeg, showing Union Station and Hotel",image/jpeg,"View of a downtown Winnipeg street depicting brick buildings and storefronts. Visible signs read, ""Cotter Bros. Plumbing and Heating Coliseum"" and ""Lions Carage""",,Canada; Manitoba; Winnipeg,Meyers Photo: Photographer,1914,,,1914,"Meyers Photo, Winnipeg, Man.",Public Domain,Cityscapes; Commercial streets; Business districts; Stores & shops; Office buildings
PC001024,https://archive.org/details/PC001024,"""The Fort Garry"". Grand Trunk Pacific's new hotel, Winnipeg, Man.",image/jpeg,View of the Fort Garry Hotel in Winnipeg. Several carriages and cars parked in front.,,Canada; Manitoba; Winnipeg,"Valentine & Sons Publishing Co., Ltd.: Publisher",1920,,,1920,"The Valentine & Sons Publishing Co., Ltd. Montreal and Toronto",For more information visit the University of Alberta Library digital collections rights page,Hotels; City & town life; Carriages & coaches; Fort Garry Hotel (Winnipeg;  Man.)
PC001010,https://archive.org/details/PC001010,"Fort Garry Hotel & C.N.R. Depot, Winnipeg, Man.",image/jpeg,Street scene features Fort Garry Hotel and Union Station.,,Canada; Manitoba; Winnipeg,B.C. printing & Litho. Ltd.: Publisher,1920,,,1920,"Published by the B.C. printing & Litho. Ltd. Vancouver, B.C",For more information visit the University of Alberta Library digital collections rights page,Hotels; Railroad stations; Union Station (Winnipeg;  Man.); Fort Garry Hotel (Winnipeg;  Man.)
PC001413,https://archive.org/details/PC001413,"Main Street from top of Royal Bank building, looking south, Winnipeg, Manitoba.",image/jpeg,"Early Canadian colour hand tinted picture post card, Main Street from top of Royal Bank Building, looking South, Winnipeg, Manitoba. There are signs for National Canadian Bank, William Penn, Ashdown's Hardwars, Mechanics Tools, Kyanize Finish. Bryce's Home Made Bread, etc.",,Canada; Manitoba; Winnipeg,Photogelatine Engraving Co.: Publisher,1920,,,1920,"Photogelatine Engraving Co. Limited, Ottawa",Public Domain,Business districts; Commercial streets; Commercial facilities; Banks; Royal Bank of Canada (Winnipeg;  Man.); National Bank of Canada (Winnipeg;  Man.)
PC002057,https://archive.org/details/PC002057,Winnipeg Jubilee parade 1924,image/jpeg,"Portage Avenue looking West, during the 1924 Jubilee Parade.",,Canada; Manitoba; Winnipeg,,1924,,,1924,,Public Domain,Parades & processions; Anniversaries; Celebrations; Automobiles; Events; Crowds
PC013519,https://archive.org/details/PC013519,"Winnipeg Theatre Fire, Dec 23 1926",image/jpeg,"Fire at the Winnipeg Theatre, 34 Adelaide Street at Notre Dame Avenue, Winnipeg.",,Canada; Manitoba; Winnipeg,,1926,,,1926,,Public Domain,Fires; Firefighting equipment; Ice; Theaters
PC020576,https://archive.org/details/PC020576,Card PC020576,image/jpeg,,,Canada; Manitoba; Winnipeg,,1927,,,1927,,Public Domain,
PC001171,https://archive.org/details/PC001171,"Manitoba Legislative Buildings- Winnipeg, Man., Canada C. N. R.",image/jpeg,Manitoba Legislative Building.,,Canada; Manitoba; Winnipeg,King Post Card: Publisher,1940,,,1940,"Produced by King Post Card, (Canada) Toronto",For more information visit the University of Alberta Library digital collections rights page,Capitols; Legislative bodies; Government facilities; Manitoba Legislative Building (Winnipeg;  Man.)
PC013502,https://archive.org/details/PC013502,"Portage Ave., Winnipeg. Royal Welcome Week.",image/jpeg,"View of Portage Avenue, Winnipeg. T.Eaton Co. building is visible in the right side.",,Canada; Manitoba; Winnipeg,,1940,,,1940,,Public Domain,Business districts; Department stores; Automobiles; City & town life
PC001409,https://archive.org/details/PC001409,"Looking north on Main Street. Winnipeg, Manitoba",image/jpeg,"View of downtown Winnipeg, Manitoba. There are signs for ""The McIntyre Block"", Marathon Blue Gas"" and ""Bank of Montreal"".",,Canada; Manitoba; Winnipeg,,1947,,,1947,,Public Domain,Business districts; Commercial facilities; Cityscapes; City & town life
PC020558,https://archive.org/details/PC020558,"Principal Sparling School, Winnipeg",image/jpeg,,,Canada; Manitoba; Winnipeg,,,,,,,For more information visit the University of Alberta Library digital collections rights page,
PC021732,https://archive.org/details/PC021732,"Wesley College and students quarters, Winnipeg, Man.",image/jpeg,,,Canada; Manitoba; Winnipeg,,,,,,,For more information visit the University of Alberta Library digital collections rights page,
PC021851,https://archive.org/details/PC021851,Card PC021851,image/jpeg,,,Canada; Manitoba; Winnipeg,,,,,,,For more information visit the University of Alberta Library digital collections rights page,
